Invoice Date,Invoice ID,Invoice Status,Customer Name,Due Date,SubTotal,Total,Last Payment Date,Payment Terms,Payment Terms Label,Item Name,,Item Total,Item Price,Recurrence Name,Billing Attention,Item Tax Amount,Item Tax Type
2024-08-20,510492000000127377,Closed,Patrick Shoes Limited,2024-08-25,398,477.6,2024-09-26,5,,SEO (Search Engine Optimization),,398,398,,Mr. Noain Bakshi,79.599999999999994,ItemAmount
2024-09-01,510492000000127437,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2024-09-06,199,238.8,2024-10-04,5,,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-09-05,510492000000148039,Closed,Patrick Shoes Limited,2024-09-10,100,120,2024-10-29,5,Net 5,Web Development,,100,100,,Mr. Noain Bakshi,20,ItemAmount
2024-09-20,510492000000170101,Closed,NOMADS CLOTHING LIMITED,2024-09-25,199,238.8,2024-10-14,5,Net 5,SEO (Search Engine Optimization),,199,199,,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-09-20,510492000000170153,Closed,Patrick Shoes Limited,2024-09-25,398,477.6,2024-11-15,5,Net 5,SEO (Search Engine Optimization),,398,398,,Mr. Noain Bakshi,79.599999999999994,ItemAmount
2024-10-01,510492000000176011,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2024-10-06,199,238.8,2024-11-29,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-10-16,510492000000192103,Closed,SUPERHOUSE (UK) LIMITED,2024-10-21,199,238.8,2024-10-31,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,,,39.799999999999997,ItemAmount
2024-10-21,510492000000198001,Closed,NOMADS CLOTHING LIMITED,2024-10-26,199,238.8,2024-11-13,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-10-21,510492000000198024,Closed,Patrick Shoes Limited,2024-10-26,398,477.6,2024-12-24,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2024-10-21,510492000000198024,Closed,Patrick Shoes Limited,2024-10-26,398,477.6,2024-12-24,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2024-11-01,510492000000206001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2024-11-06,199,238.8,2024-12-06,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-11-16,510492000000220001,Closed,SUPERHOUSE (UK) LIMITED,2024-11-21,199,238.8,2024-11-29,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2024-11-21,510492000000227001,Closed,NOMADS CLOTHING LIMITED,2024-11-26,199,238.8,2025-02-14,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-11-21,510492000000227026,Closed,Patrick Shoes Limited,2024-11-26,398,477.6,2024-12-24,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2024-11-21,510492000000227026,Closed,Patrick Shoes Limited,2024-11-26,398,477.6,2024-12-24,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2024-12-01,510492000000237001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2024-12-06,199,238.8,2024-12-24,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-12-16,510492000000251024,Closed,SUPERHOUSE (UK) LIMITED,2024-12-21,199,238.8,2025-03-12,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2024-12-21,510492000000257001,Closed,NOMADS CLOTHING LIMITED,2024-12-26,199,238.8,2025-02-14,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2024-12-21,510492000000257024,Closed,Patrick Shoes Limited,2024-12-26,398,477.6,2025-03-11,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2024-12-21,510492000000257024,Closed,Patrick Shoes Limited,2024-12-26,398,477.6,2025-03-11,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-01-01,510492000000265001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-01-06,199,238.8,2025-02-11,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-01-16,510492000000283001,Closed,SUPERHOUSE (UK) LIMITED,2025-01-21,199,238.8,2025-03-12,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-01-21,510492000000290001,Closed,NOMADS CLOTHING LIMITED,2025-01-26,199,238.8,2025-03-06,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-01-21,510492000000290024,Closed,Patrick Shoes Limited,2025-01-26,398,477.6,2025-03-11,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-01-21,510492000000290024,Closed,Patrick Shoes Limited,2025-01-26,398,477.6,2025-03-11,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-02-01,510492000000303001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-02-06,199,238.8,2025-03-25,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-02-16,510492000000324024,Closed,SUPERHOUSE (UK) LIMITED,2025-02-21,199,238.8,2025-04-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-02-20,510492000000328019,Closed,NOMADS CLOTHING LIMITED,2025-02-25,599,718.8,2025-03-21,5,Your payment should reach us within 5 days from the invoice date,Web Development,,599,599,,,119.8,ItemAmount
2025-02-21,510492000000329001,Closed,NOMADS CLOTHING LIMITED,2025-02-26,199,238.8,2025-03-06,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-02-21,510492000000329030,Closed,Patrick Shoes Limited,2025-02-26,398,477.6,2025-04-14,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-02-21,510492000000329030,Closed,Patrick Shoes Limited,2025-02-26,398,477.6,2025-04-14,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-03-01,510492000000338001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-03-06,199,238.8,2025-03-25,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-03-16,510492000000357065,Closed,SUPERHOUSE (UK) LIMITED,2025-03-21,199,238.8,2025-04-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-03-19,510492000000361370,Closed,Patrick Shoes Limited,2025-03-24,395,474,2025-04-23,5,Your payment should reach us within 5 days from the invoice date,Web Development,,395,395,,,79,ItemAmount
2025-04-01,510492000000374001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-04-06,199,238.8,2025-08-04,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-04-15,510492000000393001,Closed,SUPERHOUSE (UK) LIMITED,2025-04-20,199,238.8,2025-05-01,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-04-15,510492000000398001,Closed,Patrick Shoes Limited,2025-04-20,398,477.6,2025-06-20,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-04-15,510492000000398001,Closed,Patrick Shoes Limited,2025-04-20,398,477.6,2025-06-20,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-04-15,510492000000404135,Closed,NOMADS CLOTHING LIMITED,2025-04-20,199,238.8,2025-06-24,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-05-01,510492000000418001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-05-06,199,238.8,2025-08-15,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-05-15,510492000000449035,Closed,NOMADS CLOTHING LIMITED,2025-05-20,199,238.8,2025-10-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-05-15,510492000000449069,Closed,Patrick Shoes Limited,2025-05-20,398,477.6,2025-08-14,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-05-15,510492000000449069,Closed,Patrick Shoes Limited,2025-05-20,398,477.6,2025-08-14,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-05-15,510492000000449105,Closed,SUPERHOUSE (UK) LIMITED,2025-05-20,199,238.8,2025-06-19,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-06-01,510492000000476001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-06-06,199,238.8,2025-08-15,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-06-15,510492000000504024,Closed,NOMADS CLOTHING LIMITED,2025-06-20,199,238.8,2025-10-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-06-15,510492000000504047,Closed,Patrick Shoes Limited,2025-06-20,398,477.6,2025-08-14,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-06-15,510492000000504047,Closed,Patrick Shoes Limited,2025-06-20,398,477.6,2025-08-14,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-06-15,510492000000504072,Closed,SUPERHOUSE (UK) LIMITED,2025-06-20,199,238.8,2025-07-09,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-07-01,510492000000536001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-07-06,199,238.8,2025-10-07,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-07-15,510492000000565047,Closed,NOMADS CLOTHING LIMITED,2025-07-20,199,238.8,2025-10-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-07-15,510492000000565081,Closed,Patrick Shoes Limited,2025-07-20,398,477.6,2025-09-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-07-15,510492000000565081,Closed,Patrick Shoes Limited,2025-07-20,398,477.6,2025-09-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-07-15,510492000000565117,Closed,SUPERHOUSE (UK) LIMITED,2025-07-20,199,238.8,2025-07-28,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-08-01,510492000000597001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-08-06,199,238.8,2025-10-07,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-08-15,510492000000623001,Closed,NOMADS CLOTHING LIMITED,2025-08-20,199,238.8,2025-10-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-08-15,510492000000623035,Closed,Patrick Shoes Limited,2025-08-20,398,477.6,2025-10-09,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-08-15,510492000000623035,Closed,Patrick Shoes Limited,2025-08-20,398,477.6,2025-10-09,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-08-15,510492000000623071,Closed,SUPERHOUSE (UK) LIMITED,2025-08-20,199,238.8,2025-08-26,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-09-01,510492000000649001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-09-06,199,238.8,2025-10-07,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-09-15,510492000000686001,Closed,NOMADS CLOTHING LIMITED,2025-09-20,199,238.8,2025-10-17,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-09-15,510492000000686035,Closed,Patrick Shoes Limited,2025-09-20,398,477.6,2025-10-21,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-09-15,510492000000686035,Closed,Patrick Shoes Limited,2025-09-20,398,477.6,2025-10-21,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-09-15,510492000000686071,Closed,SUPERHOUSE (UK) LIMITED,2025-09-20,199,238.8,2025-10-07,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-10-01,510492000000729001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-10-06,199,238.8,2025-10-31,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-10-15,510492000000765001,Closed,NOMADS CLOTHING LIMITED,2025-10-20,199,238.8,2026-02-26,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-10-15,510492000000765035,Closed,Patrick Shoes Limited,2025-10-20,398,477.6,2025-12-24,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-10-15,510492000000765035,Closed,Patrick Shoes Limited,2025-10-20,398,477.6,2025-12-24,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-10-15,510492000000765071,Closed,SUPERHOUSE (UK) LIMITED,2025-10-20,199,238.8,2025-12-01,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2025-10-22,510492000000781001,Closed,Patrick Shoes Limited,2025-10-27,200,240,2025-11-10,5,Your payment should reach us within 5 days from the invoice date,Web Development,,200,200,,Mr. Noain Bakshi,40,ItemAmount
2025-11-01,510492000000798001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-11-06,199,238.8,2026-01-12,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-11-15,510492000000837001,Closed,NOMADS CLOTHING LIMITED,2025-11-20,99.5,119.4,2026-02-26,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,99.5,99.5,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,19.899999999999999,ItemAmount
2025-11-15,510492000000837035,Closed,Patrick Shoes Limited,2025-11-20,199,238.8,2025-12-05,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,99.5,99.5,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,19.899999999999999,ItemAmount
2025-11-15,510492000000837035,Closed,Patrick Shoes Limited,2025-11-20,199,238.8,2025-12-05,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,99.5,99.5,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,19.899999999999999,ItemAmount
2025-11-15,510492000000837071,Closed,SUPERHOUSE (UK) LIMITED,2025-11-20,99.5,119.4,2026-01-30,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,99.5,99.5,Monthly - SUPERHOUSE (UK) LIMITED,,19.899999999999999,ItemAmount
2025-12-01,510492000000863001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2025-12-06,199,238.8,2026-01-12,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-12-01,510492000000873041,Closed,NOMADS CLOTHING LIMITED,2025-12-06,199,238.8,2026-03-06,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2025-12-01,510492000000873081,Closed,Patrick Shoes Limited,2025-12-06,398,477.6,2026-01-29,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-12-01,510492000000873081,Closed,Patrick Shoes Limited,2025-12-06,398,477.6,2026-01-29,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2025-12-01,510492000000873123,Closed,SUPERHOUSE (UK) LIMITED,2025-12-06,199,238.8,2025-12-31,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
2026-01-01,510492000000934001,Closed,BRIGGS INDUSTRIAL FOOTWEAR LIMITED,2026-01-06,199,238.8,2026-03-06,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,monthly-BRIGGS INDUSTRIAL FOOTWEAR LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2026-01-01,510492000000934069,Closed,NOMADS CLOTHING LIMITED,2026-01-06,199,238.8,2026-03-06,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - NOMADS CLOTHING LIMITED,Mr. Andrew Davis,39.799999999999997,ItemAmount
2026-01-01,510492000000934103,Closed,Patrick Shoes Limited,2026-01-06,398,477.6,2026-03-12,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2026-01-01,510492000000934103,Closed,Patrick Shoes Limited,2026-01-06,398,477.6,2026-03-12,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - Patrick Shoes Limited,Mr. Noain Bakshi,39.799999999999997,ItemAmount
2026-01-01,510492000000934139,Closed,SUPERHOUSE (UK) LIMITED,2026-01-06,199,238.8,2026-01-30,5,Your payment should reach us within 5 days from the invoice date,SEO (Search Engine Optimization),,199,199,Monthly - SUPERHOUSE (UK) LIMITED,,39.799999999999997,ItemAmount
